deces_annee,sexe,deces_dep,n
1989,2,77,1
1989,2,972,1
1989,2,NA,2
1990,1,06,1
1990,1,42,1
1990,1,73,1
1990,1,972,1
1990,1,973,1
1990,1,NA,2
1990,2,973,1
1990,2,NA,4
1991,1,06,1
1991,1,972,2
1991,1,NA,7
1991,2,NA,2
1992,1,75,1
1992,1,95,1
1992,1,973,2
1992,1,NA,9
1992,2,NA,4
1993,1,30,1
1993,1,42,1
1993,1,67,1
1993,1,69,3
1993,1,89,1
1993,1,974,2
1993,1,NA,5
1993,2,13,1
1993,2,69,3
1993,2,77,1
1993,2,974,1
1993,2,NA,3
1994,1,69,1
1994,1,92,1
1994,1,973,7
1994,1,974,2
1994,1,NA,8
1994,2,13,1
1994,2,973,2
1994,2,NA,3
1995,1,31,1
1995,1,44,1
1995,1,972,16
1995,1,973,6
1995,1,NA,24
1995,2,13,1
1995,2,75,2
1995,2,972,6
1995,2,973,1
1995,2,NA,10
1996,1,69,1
1996,1,83,1
1996,1,974,1
1996,1,NA,13
1996,2,NA,9
1997,1,06,1
1997,1,42,1
1997,1,69,1
1997,1,972,7
1997,1,NA,22
1997,2,972,6
1997,2,NA,9
1998,1,13,1
1998,1,33,1
1998,1,84,1
1998,1,976,1
1998,1,NA,25
1998,2,59,1
1998,2,69,2
1998,2,972,1
1998,2,973,1
1998,2,974,1
1998,2,NA,11
1999,1,06,1
1999,1,34,2
1999,1,38,1
1999,1,66,1
1999,1,69,1
1999,1,80,1
1999,1,974,2
1999,1,NA,22
1999,2,06,1
1999,2,13,3
1999,2,18,1
1999,2,34,1
1999,2,60,1
1999,2,69,3
1999,2,94,1
1999,2,971,3
1999,2,974,4
1999,2,NA,12
2000,1,06,3
2000,1,17,1
2000,1,2A,1
2000,1,31,1
2000,1,33,2
2000,1,69,1
2000,1,92,1
2000,1,95,1
2000,1,972,1
2000,1,974,2
2000,1,NA,24
2000,2,06,3
2000,2,11,1
2000,2,42,2
2000,2,59,1
2000,2,61,1
2000,2,69,1
2000,2,80,1
2000,2,974,6
2000,2,NA,30
2001,1,06,1
2001,1,13,1
2001,1,31,1
2001,1,34,1
2001,1,66,1
2001,1,80,1
2001,1,92,1
2001,1,NA,24
2001,2,06,2
2001,2,34,1
