SITE	NUMERO_SITE	SEXE	ANNEE	PA	CAS_PRED	CAS_PRED_INF	CAS_PRED_SUP	TSM_I_PRED	TSM_I_PRED_INF	TSM_I_PRED_SUP	TSE_I_PRED	TSE_I_PRED_INF	TSE_I_PRED_SUP	TB_I_PRED	TB_I_PRED_INF	TB_I_PRED_SUP
bloro	01.40	1	1998	28361163	3727	3374	4117	9.7	8.8	10.8	13.2	12	14.6	13.1	11.9	14.5
bloro	01.40	1	1999	28486063	3638	3293	4021	9.3	8.5	10.3	12.7	11.5	14	12.8	11.6	14.1
bloro	01.40	1	2000	28657893.5	3571	3231	3948	9	8.1	10	12.3	11.1	13.6	12.5	11.3	13.8
bloro	01.40	1	2001	28844405	3525	3193	3897	8.7	7.9	9.7	11.9	10.8	13.2	12.2	11.1	13.5
bloro	01.40	1	2002	29033407.5	3503	3173	3865	8.5	7.7	9.4	11.6	10.5	12.8	12.1	10.9	13.3
bloro	01.40	1	2003	29220241.5	3490	3165	3850	8.3	7.6	9.2	11.4	10.3	12.6	11.9	10.8	13.2
bloro	01.40	1	2004	29415016.5	3490	3165	3849	8.2	7.4	9	11.2	10.2	12.4	11.9	10.8	13.1
bloro	01.40	1	2005	29615886	3499	3171	3858	8.1	7.3	8.9	11.1	10	12.2	11.8	10.7	13
bloro	01.40	1	2006	29815994.5	3508	3181	3869	7.9	7.2	8.8	10.9	9.9	12	11.8	10.7	13
bloro	01.40	1	2007	30001162.5	3523	3197	3882	7.8	7.1	8.6	10.8	9.8	11.9	11.7	10.7	12.9
bloro	01.40	1	2008	30166090.5	3540	3215	3898	7.7	7	8.5	10.7	9.7	11.8	11.7	10.7	12.9
bloro	01.40	1	2009	30322692	3559	3236	3915	7.6	7	8.4	10.6	9.6	11.6	11.7	10.7	12.9
bloro	01.40	1	2010	30475789	3579	3257	3936	7.6	6.9	8.3	10.5	9.5	11.5	11.7	10.7	12.9
bloro	01.40	1	2011	30626399	3606	3280	3964	7.5	6.8	8.2	10.4	9.4	11.4	11.8	10.7	12.9
bloro	01.40	1	2012	30782589.5	3635	3304	3998	7.4	6.7	8.2	10.3	9.3	11.3	11.8	10.7	13
bloro	01.40	1	2013	30945466.5	3667	3329	4037	7.4	6.7	8.1	10.2	9.3	11.2	11.8	10.8	13
bloro	01.40	1	2014	31086155	3698	3351	4077	7.3	6.6	8	10.1	9.2	11.2	11.9	10.8	13.1
bloro	01.40	1	2015	31210477	3722	3370	4118	7.2	6.5	8	10.1	9.1	11.1	11.9	10.8	13.2
bloro	01.40	1	2016	31332989	3756	3387	4162	7.2	6.5	8	10	9	11.1	12	10.8	13.3
bloro	01.40	1	2017	31446345.5	3783	3402	4209	7.1	6.4	7.9	9.9	8.9	11.1	12	10.8	13.4
bloro	01.40	1	2018	31500281	3793	3398	4235	7.1	6.4	7.9	9.9	8.9	11	12	10.8	13.4
bloro	01.40	2	1990	29102652.5	384	336	437	0.9	0.8	1.1	1.3	1.1	1.5	1.3	1.2	1.5
bloro	01.40	2	1991	29243858.5	395	350	449	1	0.9	1.1	1.3	1.2	1.5	1.4	1.2	1.5
bloro	01.40	2	1992	29384564	410	363	465	1	0.9	1.1	1.4	1.2	1.5	1.4	1.2	1.6
bloro	01.40	2	1993	29509640.5	424	377	482	1	0.9	1.2	1.4	1.2	1.6	1.4	1.3	1.6
bloro	01.40	2	1994	29620022	444	392	501	1.1	0.9	1.2	1.4	1.3	1.6	1.5	1.3	1.7
bloro	01.40	2	1995	29727493.5	459	407	520	1.1	1	1.3	1.5	1.3	1.7	1.5	1.4	1.7
bloro	01.40	2	1996	29830389.5	476	424	538	1.1	1	1.3	1.5	1.4	1.7	1.6	1.4	1.8
bloro	01.40	2	1997	29931526	495	441	556	1.2	1	1.3	1.6	1.4	1.8	1.7	1.5	1.9
bloro	01.40	2	1998	30036624.5	512	458	575	1.2	1.1	1.4	1.6	1.4	1.8	1.7	1.5	1.9
bloro	01.40	2	1999	30191342.5	533	476	597	1.2	1.1	1.4	1.7	1.5	1.9	1.8	1.6	2
bloro	01.40	2	2000	30404491.5	556	497	622	1.3	1.1	1.4	1.7	1.5	1.9	1.8	1.6	2
bloro	01.40	2	2001	30631830.5	580	521	649	1.3	1.2	1.5	1.8	1.6	2	1.9	1.7	2.1
bloro	01.40	2	2002	30860462.5	610	548	677	1.3	1.2	1.5	1.8	1.6	2	2	1.8	2.2
bloro	01.40	2	2003	31083389.5	640	576	708	1.4	1.3	1.5	1.9	1.7	2.1	2.1	1.9	2.3
bloro	01.40	2	2004	31319326	671	605	742	1.4	1.3	1.6	1.9	1.8	2.2	2.1	1.9	2.4
bloro	01.40	2	2005	31565612.5	702	634	778	1.5	1.3	1.6	2	1.8	2.2	2.2	2	2.5
bloro	01.40	2	2006	31781491	734	663	812	1.5	1.4	1.7	2.1	1.9	2.3	2.3	2.1	2.6
bloro	01.40	2	2007	31963889.5	765	693	843	1.6	1.4	1.7	2.1	1.9	2.3	2.4	2.2	2.6
bloro	01.40	2	2008	32134197	794	723	874	1.6	1.5	1.8	2.2	2	2.4	2.5	2.3	2.7
bloro	01.40	2	2009	32292780	825	754	905	1.6	1.5	1.8	2.2	2	2.5	2.6	2.3	2.8
bloro	01.40	2	2010	32442000.5	858	785	938	1.7	1.5	1.8	2.3	2.1	2.5	2.6	2.4	2.9
bloro	01.40	2	2011	32596758.5	891	817	976	1.7	1.6	1.9	2.4	2.2	2.6	2.7	2.5	3
bloro	01.40	2	2012	32754328.5	930	849	1018	1.8	1.6	1.9	2.4	2.2	2.7	2.8	2.6	3.1
bloro	01.40	2	2013	32917445	971	882	1066	1.8	1.6	2	2.5	2.3	2.7	2.9	2.7	3.2
