SITE	NUMERO_SITE	SEXE	ANNEE	PA	CAS_PRED	CAS_PRED_INF	CAS_PRED_SUP	TSM_I_PRED	TSM_I_PRED_INF	TSM_I_PRED_SUP	TSE_I_PRED	TSE_I_PRED_INF	TSE_I_PRED_SUP	TB_I_PRED	TB_I_PRED_INF	TB_I_PRED_SUP
lmnh	32.00	1	1994	28038749.5	8178	7812	8557	21	20	21.9	28.6	27.3	30	29.2	27.9	30.5
lmnh	32.00	1	1995	28116753.5	8498	8123	8895	21.4	20.5	22.4	29.3	28	30.7	30.2	28.9	31.6
lmnh	32.00	1	1996	28195599	8825	8438	9232	21.9	20.9	22.9	30	28.7	31.4	31.3	29.9	32.7
lmnh	32.00	1	1997	28275964	9156	8758	9573	22.3	21.3	23.3	30.7	29.4	32.1	32.4	31	33.9
lmnh	32.00	1	1998	28361163	9489	9081	9919	22.7	21.8	23.8	31.3	30	32.8	33.5	32	35
lmnh	32.00	1	1999	28486063	9835	9411	10276	23.1	22.1	24.2	32	30.6	33.4	34.5	33	36.1
lmnh	32.00	1	2000	28657893.5	10190	9752	10645	23.5	22.5	24.6	32.5	31.1	34	35.6	34	37.1
lmnh	32.00	1	2001	28844405	10542	10095	11010	23.8	22.8	24.9	33	31.6	34.5	36.5	35	38.2
lmnh	32.00	1	2002	29033407.5	10889	10431	11366	24.1	23.1	25.2	33.5	32.1	34.9	37.5	35.9	39.1
lmnh	32.00	1	2003	29220241.5	11217	10751	11706	24.3	23.3	25.4	33.9	32.4	35.3	38.4	36.8	40.1
lmnh	32.00	1	2004	29415016.5	11541	11063	12044	24.6	23.5	25.6	34.2	32.8	35.7	39.2	37.6	40.9
lmnh	32.00	1	2005	29615886	11862	11368	12375	24.7	23.7	25.8	34.5	33	36	40.1	38.4	41.8
lmnh	32.00	1	2006	29815994.5	12156	11654	12683	24.9	23.9	26	34.7	33.3	36.2	40.8	39.1	42.5
lmnh	32.00	1	2007	30001162.5	12441	11929	12974	25	23.9	26	34.9	33.4	36.4	41.5	39.8	43.2
lmnh	32.00	1	2008	30166090.5	12712	12195	13252	25	24	26.1	35	33.5	36.4	42.1	40.4	43.9
lmnh	32.00	1	2009	30322692	12978	12454	13523	25.1	24.1	26.1	35	33.6	36.5	42.8	41.1	44.6
lmnh	32.00	1	2010	30475789	13245	12711	13796	25.1	24.1	26.2	35.1	33.7	36.6	43.5	41.7	45.3
