Address,CODGEO,ObservedDeaths,NIVGEO,LIBGEO,NB,ExpectedDeaths,SMR
"2A092 Conca, France",2A092,9.333333333,COM,Conca,854.034681,13.55011838,0.688800871
"41254 Le Temple, France",41254,1.166666667,COM,Le Temple,122.6808511,1.693678456,0.688835984
"31212 Garidech, France",31212,8.333333333,COM,Garidech,1193.491848,12.09769353,0.688836539
"37168 Neuilly-le-Brignon, France",37168,2.833333333,COM,Neuilly-le-Brignon,249.0657439,4.113151589,0.688847292
"31571 Vendine, France",31571,1.166666667,COM,Vendine,180.8908451,1.693607479,0.688864853
"54197 Fléville-devant-Nancy, France",54197,15,COM,Fléville-devant-Nancy,1658,21.77493892,0.688865308
"33266 Marcenais, France",33266,3.333333333,COM,Marcenais,545.6447358,4.838874364,0.688865443
"61203 Héloup, France",61203,5.166666667,COM,Héloup,637.6053215,7.500147104,0.688875377
"24365 Saint-Amand-de-Vergt, France",24365,2,COM,Saint-Amand-de-Vergt,189,2.903282216,0.688875504
"21307 Grésigny-Sainte-Reine, France",21307,1,COM,Grésigny-Sainte-Reine,98,1.451523839,0.688931158
"36147 Orville, France",36147,1,COM,Orville,97,1.451385699,0.68899673
"31345 Miremont, France",31345,10.66666667,COM,Miremont,1548.632096,15.4804405,0.689041547
"17278 Pisany, France",17278,4.333333333,COM,Pisany,500,6.287951703,0.689148635
"40261 Saint-Geours-de-Maremne, France",40261,15.33333333,COM,Saint-Geours-de-Maremne,1842.960844,22.24880316,0.689175648
"77059 Bussy-Saint-Martin, France",77059,3.166666667,COM,Bussy-Saint-Martin,471.2280008,4.594251318,0.689267184
"22160 Noyal, France",22160,4.5,COM,Noyal,593.8287526,6.5285951,0.6892754
"10102 Colombé-la-Fosse, France",10102,1.666666667,COM,Colombé-la-Fosse,133.3020833,2.417925625,0.689296085
"64472 Saint-Castin, France",64472,4.333333333,COM,Saint-Castin,564.1520468,6.286554695,0.689301779
"39088 Cesancey, France",39088,2.5,COM,Cesancey,286,3.626858188,0.689301834
"86085 Coussay, France",86085,2.166666667,COM,Coussay,177.692543,3.143246185,0.689308613
"10135 Éclance, France",10135,1,COM,Éclance,93,1.45071157,0.689316899
"28231 La Mancelière, France",28231,1.333333333,COM,La Mancelière,117.2041885,1.934214472,0.689340998
"64179 Castetner, France",64179,1.166666667,COM,Castetner,118,1.692408926,0.689352702
"34173 Montpeyroux, France",34173,9.666666667,COM,Montpeyroux,874,14.02137492,0.689423592
"64091 Baliros, France",64091,2.333333333,COM,Baliros,292.5168986,3.38412025,0.689494805
"91109 Brières-les-Scellés, France",91109,4.833333333,COM,Brières-les-Scellés,774.2850304,7.009660153,0.689524631
"78367 Mareil-Marly, France",78367,20.33333333,COM,Mareil-Marly,2262.938348,29.4873891,0.689560316
"86209 Roches-Prémarie-Andillé, France",86209,10.33333333,COM,Roches-Prémarie-Andillé,1407.834808,14.985295,0.689564892
"38210 Leyrieu, France",38210,3.833333333,COM,Leyrieu,541,5.55849066,0.689635652
"68197 Magstatt-le-Bas, France",68197,2,COM,Magstatt-le-Bas,301.9541129,2.900024612,0.689649319
"64534 Taron-Sadirac-Viellenave, France",64534,2.166666667,COM,Taron-Sadirac-Viellenave,133.0009965,3.141675886,0.689653149
"26043 Beauvoisin, France",26043,0.666666667,COM,Beauvoisin,96.96551724,0.966667954,0.689654254
"30283 Saint-Martial, France",30283,2,COM,Saint-Martial,159,2.899918527,0.689674548
"85137 Marsais-Sainte-Radégonde, France",85137,3,COM,Marsais-Sainte-Radégonde,344.8498721,4.349338699,0.689760032
"7228 Saint-Désirat, France",7228,4.5,COM,Saint-Désirat,578.4206161,6.523879688,0.689773603
"50130 Chérencé-le-Héron, France",50130,3.166666667,COM,Chérencé-le-Héron,277,4.590855965,0.689776959
"73206 Pralognan-la-Vanoise, France",73206,4.333333333,COM,Pralognan-la-Vanoise,498,6.281884781,0.689814201
"60232 Ferrières, France",60232,1.833333333,COM,Ferrières,295.7096316,2.657716781,0.689815162
"1362 Saint-Jean-de-Thurigneux, France",1362,3.166666667,COM,Saint-Jean-de-Thurigneux,499.7964703,4.59009312,0.689891596
"26248 Pontaix, France",26248,1.5,COM,Pontaix,118.5318067,2.174158987,0.689921946
"85103 Grosbreuil, France",85103,11.66666667,COM,Grosbreuil,1435.870709,16.91009878,0.689923035
"62058 Aumerval, France",62058,1,COM,Aumerval,125,1.449342184,0.689968188
"61148 Durcet, France",61148,1.333333333,COM,Durcet,181.7465753,1.932450905,0.689970094
"8372 Rubigny, France",8372,0.666666667,COM,Rubigny,41,0.966218181,0.689975287
"33450 Saint-Michel-de-Castelnau, France",33450,2,COM,Saint-Michel-de-Castelnau,189,2.898638762,0.689979043
"26156 Larnage, France",26156,5.5,COM,Larnage,710.9933078,7.970690284,0.690028066
"46054 Caniac-du-Causse, France",46054,2.333333333,COM,Caniac-du-Causse,263.6944283,3.381459578,0.690037329
"25269 Germondans, France",25269,0.5,COM,Germondans,36.40322581,0.724582608,0.690052445
"40097 Eugénie-les-Bains, France",40097,3.833333333,COM,Eugénie-les-Bains,336.3722545,5.554483792,0.690133139
"25330 Lavans-Quingey, France",25330,0.833333333,COM,Lavans-Quingey,132,1.207472504,0.69014684
"46215 Payrac, France",46215,7.5,COM,Payrac,521.6654726,10.86700578,0.690162512
"62332 Ficheux, France",62332,3.666666667,COM,Ficheux,355.3293413,5.312716396,0.690167966
"27260 Foulbec, France",27260,2.666666667,COM,Foulbec,439.7548117,3.863626651,0.690197813
"86109 Guesnes, France",86109,2.833333333,COM,Guesnes,196.1415213,4.10510318,0.690197837
"80769 Treux, France",80769,1.166666667,COM,Treux,167.8392857,1.690280828,0.690220612
"72374 Villaines-la-Carelle, France",72374,1.166666667,COM,Villaines-la-Carelle,123.1842105,1.690171769,0.690265148
