Address,CODGEO,ObservedDeaths,NIVGEO,LIBGEO,NB,ExpectedDeaths,SMR
"24407 Sainte-Foy-de-Longas, France",24407,1.833333333,COM,Sainte-Foy-de-Longas,204.2833333,3.51144407,0.522102388
"54078 Blémerey, France",54078,0.333333333,COM,Blémerey,46.12727273,0.638351841,0.522178071
"60677 Villembray, France",60677,0.666666667,COM,Villembray,142.6046512,1.276220946,0.522375588
"64280 Izeste, France",64280,3.333333333,COM,Izeste,292.2685185,6.381070033,0.522378428
"91568 Saint-Maurice-Montcouronne, France",91568,4.833333333,COM,Saint-Maurice-Montcouronne,1056,9.250852342,0.522474379
"67085 Dangolsheim, France",67085,2.666666667,COM,Dangolsheim,511.353136,5.103199067,0.522548039
"16250 Orgedeuil, France",16250,2,COM,Orgedeuil,182.2916667,3.823830781,0.523035698
"88077 Brû, France",88077,2.166666667,COM,Brû,384.2746479,4.141070807,0.523214108
"95445 Nerville-la-Forêt, France",95445,2.5,COM,Nerville-la-Forêt,458.6746988,4.778124122,0.523217886
"1158 Farges, France",1158,3,COM,Farges,613.1215575,5.731383673,0.523433811
"33204 Hure, France",33204,3,COM,Hure,358.3195691,5.73103679,0.523465493
"32430 Sère, France",32430,1,COM,Sère,82.95,1.910314239,0.523474086
"1103 Chevry, France",1103,3.666666667,COM,Chevry,1183.024663,7.003016328,0.523583909
"16345 Saint-Quentin-sur-Charente, France",16345,1.166666667,COM,Saint-Quentin-sur-Charente,197.5734597,2.228092789,0.523616733
"53030 Le Bignon-du-Maine, France",53030,1,COM,Le Bignon-du-Maine,217.21875,1.909704742,0.523641157
"42161 Notre-Dame-de-Boisset, France",42161,1.833333333,COM,Notre-Dame-de-Boisset,377.3656846,3.500557045,0.52372617
"2B366 Chisa, France",2B366,1,COM,Chisa,87,1.908710919,0.523913805
"21003 Ahuy, France",21003,6.333333333,COM,Ahuy,874.8498074,12.08791091,0.523939445
"61358 Sai, France",61358,1.166666667,COM,Sai,189.4513274,2.226695729,0.523945257
"14747 Vieux, France",14747,2.666666667,COM,Vieux,436.8211424,5.088007091,0.524108284
"79243 Saint-Coutant, France",79243,1.666666667,COM,Saint-Coutant,194,3.179879347,0.524128901
"2518 Montlevon, France",2518,1.5,COM,Montlevon,207,2.861661016,0.524171099
"1105 Civrieux, France",1105,5,COM,Civrieux,1100.59322,9.536311043,0.524311757
"51089 Brouillet, France",51089,0.5,COM,Brouillet,69.79166667,0.953306045,0.524490537
"51049 Bergères-lès-Vertus, France",51049,3.166666667,COM,Bergères-lès-Vertus,446.2254207,6.035627848,0.524662346
"67319 Neuhaeusel, France",67319,1.666666667,COM,Neuhaeusel,269.7260274,3.176003685,0.524768493
"66052 Codalet, France",66052,3.166666667,COM,Codalet,266.5042017,6.033208422,0.524872745
"2B161 Moïta, France",2B161,0.833333333,COM,Moïta,64.61538461,1.58765829,0.524882047
"14082 La Boissière, France",14082,0.666666667,COM,La Boissière,121,1.270095537,0.524894898
"7274 Saint-Maurice-en-Chalencon, France",7274,1.5,COM,Saint-Maurice-en-Chalencon,169.9553067,2.856478167,0.525122165
"10113 Couvignon, France",10113,0.833333333,COM,Couvignon,144.8382353,1.586513312,0.525260852
