Address,CODGEO,ObservedDeaths,NIVGEO,LIBGEO,NB,ExpectedDeaths,SMR
"91064 Bièvres, France",91064,26.5,COM,Bièvres,2885.043932,31.75405765,0.834539015
"90051 Froidefontaine, France",90051,2.833333333,COM,Froidefontaine,298.4461339,3.395011952,0.83455769
"2372 Hartennes-et-Taux, France",2372,2.166666667,COM,Hartennes-et-Taux,220,2.596175666,0.834560887
"61499 Les Ventes-de-Bourse, France",61499,0.833333333,COM,Les Ventes-de-Bourse,82,0.998480899,0.834601177
"32109 Couloumé-Mondebat, France",32109,2.833333333,COM,Couloumé-Mondebat,153.5670103,3.39481175,0.834606907
"79166 Marigny, France",79166,5.5,COM,Marigny,611.5170475,6.589896709,0.834610957
"24069 Bussac, France",24069,3.333333333,COM,Bussac,280.4724764,3.993601321,0.834668527
"54306 Lay-Saint-Remy, France",54306,2.833333333,COM,Lay-Saint-Remy,222,3.39430089,0.834732519
"74010 Annecy, France",74010,1028.5,COM,Annecy,82131.40791,1232.115933,0.834742878
"37232 Coteaux-sur-Loire, France",37232,15.66666667,COM,Coteaux-sur-Loire,1348.325384,18.7681414,0.834747902
"27019 Armentières-sur-Avre, France",27019,0.833333333,COM,Armentières-sur-Avre,130.3558282,0.998302745,0.834750117
"71485 Saint-Vallerin, France",71485,1.833333333,COM,Saint-Vallerin,176.0232558,2.196107382,0.834810424
"47295 Savignac-sur-Leyze, France",47295,2,COM,Savignac-sur-Leyze,183.5866207,2.395752627,0.83481073
"77266 Machault, France",77266,3.5,COM,Machault,484.2400513,4.19242475,0.834839075
"3162 Marigny, France",3162,1.166666667,COM,Marigny,144,1.397458353,0.83484897
"33002 Aillas, France",33002,7.833333333,COM,Aillas,582.6683661,9.382814952,0.834859621
"24134 Corgnac-sur-l'Isle, France",24134,10,COM,Corgnac-sur-l'Isle,644.0630524,11.97784631,0.834874629
"54136 Conflans-en-Jarnisy, France",54136,19.5,COM,Conflans-en-Jarnisy,1599,23.35673381,0.834877006
"51630 Villers-aux-Bois, France",51630,1.333333333,COM,Villers-aux-Bois,224,1.597011767,0.834892617
"2515 Montigny-lès-Condé, France",2515,0.333333333,COM,Montigny-lès-Condé,40.41818182,0.399249566,0.834899677
"40256 Saint-Étienne-d'Orthe, France",40256,4.833333333,COM,Saint-Étienne-d'Orthe,478,5.788620888,0.834971477
"71546 Trambly, France",71546,3.166666667,COM,Trambly,284.4619165,3.792417165,0.834999561
"69384 Lyon 4e Arrondissement, France",69384,282.6666667,ARM,Lyon 4e Arrondissement,23069.70045,338.5219582,0.835002456
"88213 La Grande-Fosse, France",88213,1.166666667,COM,La Grande-Fosse,100.2790698,1.397193975,0.835006941
"16078 Champniers, France",16078,38.16666667,COM,Champniers,3768.381175,45.70561792,0.835054166
"85099 Le Girouard, France",85099,5.666666667,COM,Le Girouard,684.6855059,6.785625427,0.835098655
"40316 Tilh, France",40316,6.5,COM,Tilh,600.2583732,7.783445675,0.835105719
"70233 Les Fessey, France",70233,1,COM,Les Fessey,93.30882353,1.197449315,0.835108415
"33416 Saint-Girons-d'Aiguevives, France",33416,9,COM,Saint-Girons-d'Aiguevives,685.6523365,10.77695583,0.835115235
"75111 Paris 11e Arrondissement, France",75111,806.8333333,ARM,Paris 11e Arrondissement,92390.61186,966.0867601,0.835156185
"16358 Saint-Yrieix-sur-Charente, France",16358,63.16666667,COM,Saint-Yrieix-sur-Charente,5217.425147,75.63450051,0.83515679
"42107 Gumières, France",42107,2,COM,Gumières,234.73125,2.394731463,0.835166711
"88005 Allarmont, France",88005,1.666666667,COM,Allarmont,146.5881623,1.995586396,0.835176402
"8131 Cornay, France",8131,1,COM,Cornay,62.015625,1.197322235,0.835197051
"43227 Saint-Victor-Malescours, France",43227,4.166666667,COM,Saint-Victor-Malescours,499.0674002,4.988656066,0.835228288
"78486 Le Perray-en-Yvelines, France",78486,40.66666667,COM,Le Perray-en-Yvelines,4334.307611,48.6888863,0.835235097
"87166 Saint-Martin-le-Vieux, France",87166,4.833333333,COM,Saint-Martin-le-Vieux,576.1325674,5.78674633,0.835241958
"67406 Rohr, France",67406,1.666666667,COM,Rohr,187,1.995374995,0.835264886
"10269 Nozay, France",10269,1.166666667,COM,Nozay,97,1.396691461,0.835307367
