"IRIS";"P15_POP";"fdep15"
"013190000";464;0,401033751210995
"013200000";3673;0,00959772881586956
"013210000";938;-1,12795514216527
"013220000";4544;-1,4891117662423
"013230000";970;0,918167369502228
"013250000";972;-0,712352931000342
"013280000";597;0,207455880208177
"013290000";150;2,67099278950041
"013300000";182;-0,354307647198819
"013310000";175;1,18091184931638
"013320000";748;0,0091983964024846
"013330000";3129;-1,04517777218154
"013340000";579;-0,369757475064473
"013350000";382;-0,427348403004243
"013360000";1128;-0,285478567690412
"013370000";1242;0,0980282151749645
"013380000";1193;0,483370189557096
"013390000";1436;-1,81596583784921
"013410000";162;0,136674493064884
"013420000";559;-1,55397890996814
"013430000";1746;-0,147289308501948
"013440000";5530;-0,848427616181476
"013450000";2293;0,824207200655759
"013460000";886;0,177859846817843
"013470000";1889;-1,48400005847171
"013480000";2787;0,724849794245373
"013490000";451;-1,84585952813707
"013500000";2532;-0,246320659355379
"013510000";1538;0,0425206969260926
"013520000";566;0,874123363720159
"013530000";1647;-1,35648816715439
"013540101";3914;-1,02013315990427
"013540102";3554;-0,747894412026985
"013540103";3357;-1,38552489719305
"013550000";473;0,413865997316667
"013560000";224;-1,09806315515332
"013570000";507;2,39222881605822
"013580000";426;0,415260201058589
"013590000";233;-1,56380660563665
"013600000";1653;-2,63822525696241
"013610000";1418;-1,47436077702375
"013620000";778;-1,88390717729684
"013630000";1663;0,348711581356207
"013640000";731;0,914725669298692
"013650000";1106;0,480215054087723
"013660000";980;-0,411128072608663
"013670000";714;1,36866551324062
"013680000";779;-0,167187605801806
"013690000";907;-1,00533847390363
"013700000";1787;0,570991400250504
"013710000";1327;-0,300176659742037
"013720000";434;0,0228563720138269
"013730000";1076;0,939822196640916
"013740000";1784;-0,822821614553251
"013750000";802;-0,229354796605107
"013760000";3963;0,609818558676888
"013780000";2509;-1,07671245117993
"013790000";754;0,267526972793624
"013800000";682;1,12947786902357
"013810000";912;-0,0612113561382959
"013820000";287;-1,418462127546
"013830000";1476;0,591702951511283
"013840000";2311;1,85250380272927
"013850000";991;-0,759371751823981
"013860000";1131;-0,574242523045233
"013870000";234;-1,11527424529346
"013880000";1097;1,45355560412363
"013890000";1844;-0,272152625708204
"013900000";1194;0,0890559497025709
"013910000";285;0,430045925822858
"013920000";660;-0,347995364140851
"013930000";520;-0,51523880644894
"013960000";985;2,48046238233632
"013970000";1037;-2,92013651379113
"013980000";1301;-0,733826962121834
"013990000";1969;-3,07498809551122
"014000000";138;1,14465309779463
"014010000";2015;-3,28125032744706
"014020000";694;0,540558973295095
"014030000";1278;1,44419198078056
"014040000";128;1,79215813612045
"014050000";1224;1,19984737679872
"014060000";176;1,08738096397381
"014070000";990;0,484928849450264
"014080000";683;0,271014638204649
"014100000";321;-0,788901997501068
"014110000";267;0,145385046817567
"014120000";568;0,504597084080461
"014130000";72;0,679951444259703
"014140000";211;-0,797918347438927
"014150000";443;0,833062068939005
"014160000";1053;2,29432451566779
"014170000";300;-0,31331012475697
